NFR19,SNAP,Source,Activity
1A1a,1,Heat supply,Landfill gas
1A1a,1,Heat supply,Sewage gas
1A1a,1,Miscellaneous industrial/commercial combustion,MSW
1A1a,1,Power stations,Burning oil
1A1a,1,Power stations,Coal
1A1a,1,Power stations,Coke
1A1a,1,Power stations,Fuel oil
1A1a,1,Power stations,Gas oil
1A1a,1,Power stations,Landfill gas
1A1a,1,Power stations,Liquid bio-fuels
1A1a,1,Power stations,LPG
1A1a,1,Power stations,MSW
1A1a,1,Power stations,Natural gas
1A1a,1,Power stations,OPG
1A1a,1,Power stations,Orimulsion
1A1a,1,Power stations,Petroleum coke
1A1a,1,Power stations,Poultry litter
1A1a,1,Power stations,Scrap tyres
1A1a,1,Power stations,Sewage gas
1A1a,1,Power stations,Slurry
1A1a,1,Power stations,Sour gas
1A1a,1,Power stations,Straw
1A1a,1,Power stations,Waste oils
1A1a,1,Power stations,Wood
1A1ai,1,Miscellaneous industrial/commercial combustion,MSW
1A1ai,1,Power stations,Burning oil
1A1ai,1,Power stations,Coal
1A1ai,1,Power stations,Coke
1A1ai,1,Power stations,Fuel oil
1A1ai,1,Power stations,Gas oil
1A1ai,1,Power stations,Landfill gas
1A1ai,1,Power stations,Liquid bio-fuels
1A1ai,1,Power stations,LPG
1A1ai,1,Power stations,MSW
1A1ai,1,Power stations,Natural gas
1A1ai,1,Power stations,OPG
1A1ai,1,Power stations,Orimulsion
1A1ai,1,Power stations,Petroleum coke
1A1ai,1,Power stations,Poultry litter
1A1ai,1,Power stations,Scrap tyres
1A1ai,1,Power stations,Sewage gas
1A1ai,1,Power stations,Sour gas
1A1ai,1,Power stations,Straw
1A1ai,1,Power stations,Waste oils
1A1ai,1,Power stations,Wood
1A1aiii,1,Heat supply,Landfill gas
1A1aiii,1,Heat supply,Sewage gas
1A1b,1,Refineries - combustion,Burning oil
1A1b,1,Refineries - combustion,Fuel oil
1A1b,1,Refineries - combustion,Gas oil
1A1b,1,Refineries - combustion,LPG
1A1b,1,Refineries - combustion,Naphtha
1A1b,1,Refineries - combustion,Natural gas
1A1b,1,Refineries - combustion,OPG
1A1b,1,Refineries - combustion,Petrol
1A1b,1,Refineries - combustion,Petroleum coke
1A1b,1,Refineries - combustion,Refinery miscellaneous
1A1c,1,Coke production,Blast furnace gas
1A1c,1,Coke production,Coke oven gas
1A1c,1,Coke production,Colliery methane
1A1c,1,Coke production,Natural gas
1A1c,1,Collieries - combustion,Coal
1A1c,1,Collieries - combustion,Coke oven gas
1A1c,1,Collieries - combustion,Colliery methane
1A1c,1,Collieries - combustion,Natural gas
1A1c,1,Gas production,Colliery methane
1A1c,1,Gas production,LPG
1A1c,1,Gas production,Natural gas
1A1c,1,Gas production,OPG
1A1c,1,Gas production,Town gas
1A1c,1,Nuclear fuel production,Natural gas
1A1c,1,Solid smokeless fuel production,Coke
1A1c,1,Solid smokeless fuel production,Natural gas
1A1c,1,Town gas manufacture,Burning oil
1A1c,1,Town gas manufacture,Coal
1A1c,1,Town gas manufacture,Coke
1A1c,1,Town gas manufacture,Coke oven gas
1A1c,1,Town gas manufacture,LPG
1A1c,1,Town gas manufacture,Natural gas
1A1c,1,Upstream Gas Production - fuel combustion,Gas oil
1A1c,1,Upstream Gas Production - fuel combustion,Natural gas
1A1c,1,Upstream oil and gas production - combustion at gas separation plant,LPG
1A1c,1,Upstream oil and gas production - combustion at gas separation plant,OPG
1A1c,1,Upstream Oil Production - fuel combustion,Gas oil
1A1c,1,Upstream Oil Production - fuel combustion,Natural gas
1A1ci,1,Coke production,Blast furnace gas
1A1ci,1,Coke production,Coke oven gas
1A1ci,1,Coke production,Colliery methane
1A1ci,1,Coke production,Natural gas
1A1ci,1,Solid smokeless fuel production,Coke
1A1ci,1,Solid smokeless fuel production,Natural gas
1A1cii,1,Upstream Gas Production - fuel combustion,Gas oil
1A1cii,1,Upstream Gas Production - fuel combustion,Natural gas
1A1cii,1,Upstream oil and gas production - combustion at gas separation plant,LPG
1A1cii,1,Upstream oil and gas production - combustion at gas separation plant,OPG
1A1cii,1,Upstream Oil Production - fuel combustion,Gas oil
1A1cii,1,Upstream Oil Production - fuel combustion,Natural gas
1A1ciii,1,Collieries - combustion,Coal
1A1ciii,1,Collieries - combustion,Coke oven gas
1A1ciii,1,Collieries - combustion,Colliery methane
1A1ciii,1,Collieries - combustion,Natural gas
1A1ciii,1,Gas production,Colliery methane
1A1ciii,1,Gas production,LPG
1A1ciii,1,Gas production,Natural gas
1A1ciii,1,Gas production,OPG
1A1ciii,1,Gas production,Town gas
1A1ciii,1,Nuclear fuel production,Natural gas
1A1ciii,1,Town gas manufacture,Burning oil
1A1ciii,1,Town gas manufacture,Coal
1A1ciii,1,Town gas manufacture,Coke
1A1ciii,1,Town gas manufacture,Coke oven gas
1A1ciii,1,Town gas manufacture,LPG
1A1ciii,1,Town gas manufacture,Natural gas
1A2a,3,Blast furnaces,Blast furnace gas
1A2a,3,Blast furnaces,Coke oven gas
1A2a,3,Blast furnaces,LPG
1A2a,3,Blast furnaces,Natural gas
1A2a,3,Iron and steel - combustion plant,Blast furnace gas
1A2a,3,Iron and steel - combustion plant,Coal
1A2a,3,Iron and steel - combustion plant,Coke
1A2a,3,Iron and steel - combustion plant,Coke oven gas
1A2a,3,Iron and steel - combustion plant,Fuel oil
1A2a,3,Iron and steel - combustion plant,Gas oil
1A2a,3,Iron and steel - combustion plant,LPG
1A2a,3,Iron and steel - combustion plant,Natural gas
1A2a,3,Iron and steel - combustion plant,Town gas
1A2a,3,Sinter production,Coke
1A2b,3,Autogeneration - exported to grid,Coal
1A2b,3,Autogenerators,Coal
1A2b,3,Non-Ferrous Metal (combustion),Coal
1A2b,3,Non-Ferrous Metal (combustion),Fuel oil
1A2b,3,Non-Ferrous Metal (combustion),Gas oil
1A2b,3,Non-Ferrous Metal (combustion),Natural gas
1A2c,3,Ammonia production - combustion,Natural gas
1A2c,3,Chemicals (combustion),Coal
1A2c,3,Chemicals (combustion),Fuel oil
1A2c,3,Chemicals (combustion),Gas oil
1A2c,3,Chemicals (combustion),Natural gas
1A2c,3,Chemicals (combustion),OPG
1A2c,3,Methanol production – combustion,Natural gas
1A2d,3,"Pulp, Paper and Print (combustion)",Coal
1A2d,3,"Pulp, Paper and Print (combustion)",Fuel oil
1A2d,3,"Pulp, Paper and Print (combustion)",Gas oil
1A2d,3,"Pulp, Paper and Print (combustion)",Natural gas
1A2e,3,"Food & drink, tobacco (combustion)",Coal
1A2e,3,"Food & drink, tobacco (combustion)",Fuel oil
1A2e,3,"Food & drink, tobacco (combustion)",Gas oil
1A2e,3,"Food & drink, tobacco (combustion)",Natural gas
1A2f,3,Cement - non-decarbonising,Clinker production
1A2f,3,Cement production - combustion,Coal
1A2f,3,Cement production - combustion,Fuel oil
1A2f,3,Cement production - combustion,Gas oil
1A2f,3,Cement production - combustion,Natural gas
1A2f,3,Cement production - combustion,Petroleum coke
1A2f,3,Cement production - combustion,Scrap tyres
1A2f,3,Cement production - combustion,Waste
1A2f,3,Cement production - combustion,Waste oils
1A2f,3,Cement production - combustion,Waste solvent
1A2f,3,Lime production - non decarbonising,Coal
1A2f,3,Lime production - non decarbonising,Coke
1A2f,3,Lime production - non decarbonising,Lime production
1A2f,3,Lime production - non decarbonising,Natural gas
1A2f,3,Other industrial combustion,Scrap tyres
1A2gvii,8,Industrial off-road mobile machinery,DERV
1A2gvii,8,Industrial off-road mobile machinery,Gas oil
1A2gvii,8,Industrial off-road mobile machinery,Petrol
