sector,yday,coeff,coeff_l,coeff_u
1,1,1.17544880273155,1.17278141667219,1.17811618879091
1,2,1.17845727039066,1.1757930157251,1.18112152505621
1,3,1.1817965833812,1.17914143833573,1.18445172842668
1,4,1.18544782228241,1.18280728602591,1.1880883585389
1,5,1.18939206767348,1.18677109754432,1.19201303780264
1,6,1.19361040013365,1.19101335596228,1.19620744430501
1,7,1.19808390024212,1.19551449457422,1.20065330591002
1,8,1.20279364857812,1.20025490220029,1.20533239495595
1,9,1.20772072572086,1.20521492845624,1.21022652298548
1,10,1.21284621224956,1.21037488954601,1.2153175349531
1,11,1.21815118874343,1.21571507513256,1.2205873023543
1,12,1.2236167357817,1.22121575683187,1.22601771473153
1,13,1.22922393394357,1.22685719883185,1.23159066905529
1,14,1.23495386380827,1.23261967103464,1.2372880565819
1,15,1.24078760595501,1.2384834649318,1.24309174697822
1,16,1.24670624096302,1.24442891212969,1.24898356979635
1,17,1.2526908494115,1.25043640504706,1.25494529377594
1,18,1.25872251187967,1.25648641884405,1.26095860491529
1,19,1.26478230894676,1.26255953318077,1.26700508471275
1,20,1.27085132119197,1.26863645205111,1.27306619033283
1,21,1.27691062919453,1.27469801980776,1.2791232385813
1,22,1.28294131353365,1.28072523167354,1.28515739539375
1,23,1.28892445478855,1.2866992375398,1.29114967203729
1,24,1.29484113353844,1.29260133860877,1.29708092846811
1,25,1.30067243036254,1.29841297728964,1.30293188343545
1,26,1.30639942584008,1.30411572152056,1.3086831301596
1,27,1.31200320055026,1.3096912452052,1.31431515589532
1,28,1.3174648350723,1.31512130664426,1.31980836350035
1,29,1.32276540998543,1.32038772672373,1.32514309324712
1,30,1.32788600586885,1.32547236827734,1.33029964346035
1,31,1.33280770330178,1.33035711758448,1.33525828901908
1,32,1.33751158286345,1.33502386850293,1.33999929722396
1,33,1.34197872513306,1.33945450934019,1.34450294092593
1,34,1.34619021068984,1.34363091227317,1.3487495091065
1,35,1.350127120113,1.34753492493566,1.35271931529034
1,36,1.35377053398176,1.3511483636894,1.35639270427412
1,37,1.35710153287533,1.3544530080525,1.35975005769817
1,38,1.36010119737294,1.35743059575146,1.36277179899442
1,39,1.36275060805379,1.36006281786814,1.36543839823945
1,40,1.36503084549712,1.36233131355184,1.36773037744239
1,41,1.36692299028212,1.36421766374534,1.36962831681891
1,42,1.36840892134536,1.36570416035823,1.37111368233249
1,43,1.36948484973419,1.36678697032385,1.37218272914454
1,44,1.37015938338863,1.36747425323308,1.37284451354419
1,45,1.37044153900764,1.3677745019802,1.37310857603507
1,46,1.37034033329018,1.36769615235228,1.37298451422807
1,47,1.36986478293521,1.36724758901638,1.37248197685403
1,48,1.36902390464169,1.36643715066838,1.371610658615
1,49,1.3678267151086,1.36527313489978,1.37038029531741
1,50,1.36628223103488,1.36376380332419,1.36880065874557
1,51,1.36439946911951,1.36191738750756,1.36688155073146
1,52,1.36218744606145,1.35974209624944,1.36463279587345
1,53,1.35965517855965,1.35724612474689,1.3620642323724
1,54,1.35681168331309,1.35443766611252,1.35918570051365
1,55,1.35366597702072,1.35132492558628,1.35600702845515
1,56,1.3502270763815,1.34791613755281,1.3525380152102
1,57,1.34650399809441,1.34421958513877,1.34878841105005
1,58,1.3425057588584,1.34024362173141,1.34476789598539
1,59,1.33824137537243,1.33599669327709,1.34048605746778
1,60,1.33371986433547,1.33148735977582,1.33595236889513
1,61,1.32895024244649,1.32672431409951,1.33117617079346
1,62,1.32394152640443,1.32171639623991,1.32616665656896
1,63,1.31870273290827,1.31647260140457,1.32093286441197
1,64,1.31324287865697,1.31100208100745,1.31548367630648
1,65,1.30757098034949,1.30531413643401,1.30982782426496
1,66,1.30169605468479,1.2994182063208,1.30397390304878
1,67,1.29562711836184,1.2933238487883,1.29793038793538
1,68,1.2893731880796,1.28704072046971,1.29170565568948
1,69,1.28294328053702,1.28057855424438,1.28530800682967
1,70,1.27634641243309,1.27394713735836,1.27874568750782
1,71,1.26959160046675,1.26715629120218,1.27202690973131
1,72,1.26268786133696,1.26021585353378,1.26515986914015
1,73,1.2556442117427,1.25313566348118,1.25815276000423
1,74,1.24846966838293,1.24592554929354,1.25101378747231
1,75,1.2411732479566,1.23859531855177,1.24375117736143
1,76,1.23376396716268,1.2311547503936,1.23637318393176
1,77,1.22625084270014,1.22361358923135,1.22888809616892
1,78,1.21864289126793,1.21598153941451,1.22130424312134
1,79,1.21094912956501,1.20826826028999,1.21362999884004
1,80,1.20317857429036,1.20048336111623,1.2058737874645
1,81,1.19534024214293,1.19263639527875,1.19804408900712
