sector,yday,coeff,coeff_l,coeff_u
1,1,1.10896483265533,1.10673976518604,1.11118990012461
1,2,1.10827059953813,1.10604814327349,1.11049305580277
1,3,1.10778841372984,1.10557355377625,1.11000327368342
1,4,1.10750918280576,1.10530650476841,1.10971186084312
1,5,1.10742381434121,1.10523745197323,1.10961017670919
1,6,1.10752321591148,1.10535680468292,1.10968962714004
1,7,1.10779829509188,1.10565493068169,1.10994165950207
1,8,1.10823995945772,1.1061221606707,1.11035775824475
1,9,1.1088391165843,1.10674879266556,1.11092944050305
1,10,1.10958667404694,1.10752509683007,1.1116482512638
1,11,1.11047353942092,1.10844132120865,1.1125057576332
1,12,1.11149062028157,1.10948769881208,1.11349354175106
1,13,1.11262882420418,1.11065445647427,1.1146031919341
1,14,1.11387905876407,1.11193182581197,1.11582629171617
1,15,1.11523223153653,1.11331005646189,1.11715440661117
1,16,1.11667925009688,1.11477943152548,1.11857906866827
1,17,1.11821102202041,1.11633028482313,1.12009175921769
1,18,1.11981845488244,1.11795301917308,1.12168389059181
1,19,1.12149245625828,1.1196381245269,1.12334678798965
1,20,1.12322393372321,1.1213761944998,1.12507167294663
1,21,1.12500379485256,1.12315793972578,1.12684964997935
1,22,1.12682294722163,1.12497419661754,1.12867169782573
1,23,1.12867229840572,1.12681593053203,1.13052866627942
1,24,1.13054275598014,1.12867423297249,1.1324112789878
1,25,1.1324252275202,1.13054031316831,1.13431014187209
1,26,1.1343106206012,1.13240548500924,1.13621575619316
1,27,1.13618984279844,1.13426115074068,1.1381185348562
1,28,1.13805380168724,1.13609878298674,1.14000882038773
1,29,1.13989340484289,1.13790990656909,1.1418769031167
1,30,1.14169955984071,1.13968608130294,1.14371303837848
1,31,1.143463174256,1.14141888657169,1.14550746194031
1,32,1.14517515566406,1.14309990809646,1.14725040323167
1,33,1.14682641164021,1.14472072698776,1.14893209629266
1,34,1.14840784975974,1.14627291092088,1.15054278859861
1,35,1.14991037759797,1.14774800711818,1.15207274807776
1,36,1.15132490273019,1.14913753673491,1.15351226872548
1,37,1.15264233273172,1.15043299020992,1.15485167525352
1,38,1.15385357517786,1.15162582313646,1.15608132721926
1,39,1.15494953764391,1.15270745221225,1.15719162307557
1,40,1.15592112770519,1.15366925082719,1.15817300458318
1,41,1.15675925293699,1.15450254382897,1.15901596204501
1,42,1.15745514732419,1.15519890959358,1.1597113850548
1,43,1.15800590455619,1.15575540502338,1.16025640408901
1,44,1.15841368681013,1.15617381840453,1.16065355521574
1,45,1.15868082338485,1.15645604221687,1.16090560455283
1,46,1.15880964357918,1.15660392131549,1.16101536584287
1,47,1.15880247669196,1.15661925792611,1.16098569545782
1,48,1.15866165202203,1.15650381594156,1.16081948810251
1,49,1.15838949886823,1.15625932498334,1.16051967275312
1,50,1.15798834652939,1.15588748467973,1.16008920837905
1,51,1.15746052430436,1.15538996961418,1.15953107899453
1,52,1.15680836149196,1.15476843539995,1.15884828758397
1,53,1.15603418739104,1.1540245263242,1.15804384845788
1,54,1.15514033130044,1.15315988495405,1.15712077764683
1,55,1.15412912251899,1.15217616398751,1.15608208105046
1,56,1.15300289034553,1.15107504044208,1.15493074024897
1,57,1.15176396407889,1.14985823199244,1.15366969616535
1,58,1.15041467301793,1.14852751490811,1.15230183112774
1,59,1.14895734646146,1.14708474263961,1.15082995028331
1,60,1.14739431370834,1.14553186373326,1.14925676368341
1,61,1.14572790405739,1.14387093751441,1.14758487060038
1,62,1.14396044680747,1.14210414596141,1.14581674765352
1,63,1.14209427125739,1.14023380045252,1.14395474206227
1,64,1.14013170670601,1.13826234259151,1.1420010708205
1,65,1.13807508245215,1.13619233901211,1.13995782589219
1,66,1.13592672779467,1.13402647077739,1.13782698481195
1,67,1.13368897203238,1.13176751857278,1.13561042549199
1,68,1.13136414446414,1.12941834522796,1.13330994370033
1,69,1.12895457438878,1.12698187715763,1.13092727161994
1,70,1.12646259110514,1.12446108612348,1.12846409608679
1,71,1.12389052391205,1.12185897237589,1.12592207544821
1,72,1.12124070210835,1.11917854983221,1.1233028543845
1,73,1.11851545499289,1.11642283357116,1.12060807641461
1,74,1.11571711186449,1.11359482961748,1.11783939411149
1,75,1.11284800202199,1.11069752677634,1.11499847726764
1,76,1.10991045476424,1.10773389014711,1.11208701938138
1,77,1.10690679939007,1.10470685588131,1.10910674289884
1,78,1.10383936519832,1.10161932672865,1.106059403668
1,79,1.10071048148783,1.0984741679145,1.10294679506115
1,80,1.09752247755743,1.09527420289589,1.09977075221896
1,81,1.09427768270596,1.09202220853508,1.09653315687683
1,82,1.09097842652277,1.08872090934788,1.09323594369766
