Pollutant,sector,yday,coeff,coeff_l,coeff_u
CH4,1,1,1.04621710946375,1.04567804437997,1.04675617454753
CH4,1,2,1.04679059457564,1.04625216220241,1.04732902694886
CH4,1,3,1.04733417080073,1.04679757906059,1.04787076254086
CH4,1,4,1.04784883352181,1.04731519353839,1.04838247350522
CH4,1,5,1.04833557812165,1.04780589153531,1.048865264708
CH4,1,6,1.04879539998305,1.04827054770064,1.04932025226546
CH4,1,7,1.04922929448878,1.04871002662606,1.0497485623515
CH4,1,8,1.04963825702162,1.04912518391745,1.05015133012579
CH4,1,9,1.05002328296436,1.04951686726016,1.05052969866856
CH4,1,10,1.05038536769977,1.04988591758986,1.05088481780968
CH4,1,11,1.05072550661064,1.05023317048128,1.05121784273999
CH4,1,12,1.05104469507975,1.05055945786479,1.0515299322947
CH4,1,13,1.05134392848987,1.05086561017228,1.05182224680746
CH4,1,14,1.0516242022238,1.05115245899269,1.05209594545491
CH4,1,15,1.05188651166431,1.05142084027953,1.05235218304908
CH4,1,16,1.05213185219418,1.05167159809361,1.05259210629475
CH4,1,17,1.05236121919619,1.0519055887843,1.05281684960809
CH4,1,18,1.05257560805314,1.05212368541941,1.05302753068686
CH4,1,19,1.05277601414779,1.05232678218044,1.05322524611514
CH4,1,20,1.05296343286293,1.05251579836881,1.05341106735704
CH4,1,21,1.05313885958134,1.05269168164277,1.0535860375199
CH4,1,22,1.0533032896858,1.05285541014047,1.05375116923112
CH4,1,23,1.05345771855909,1.05300799324724,1.05390744387094
CH4,1,24,1.053603141584,1.05315047091738,1.05405581225061
CH4,1,25,1.0537405541433,1.05328391163339,1.05419719665321
CH4,1,26,1.05387095161978,1.05340940923922,1.05433249400034
CH4,1,27,1.05399532939622,1.05352807898864,1.05446257980379
CH4,1,28,1.05411468285539,1.05364105318842,1.05458831252236
CH4,1,29,1.05423000738009,1.05374947679218,1.054710537968
CH4,1,30,1.05434229835309,1.05385450323119,1.05483009347498
CH4,1,31,1.05445255115717,1.05395729067644,1.0549478116379
CH4,1,32,1.05456176117512,1.05405899883267,1.05506452351757
CH4,1,33,1.05467092378971,1.05416078628559,1.05518106129384
CH4,1,34,1.05478103438373,1.05426380836387,1.0552982604036
CH4,1,35,1.05489308833996,1.05436921543893,1.055416961241
CH4,1,36,1.05500808104118,1.05447815156494,1.05553801051742
CH4,1,37,1.05512700787017,1.0545917533526,1.05566226238774
CH4,1,38,1.05525086420972,1.05471114896895,1.05579057945048
CH4,1,39,1.05538064544259,1.05483745715634,1.05592383372885
CH4,1,40,1.05551734695158,1.05497178616364,1.05606290773953
CH4,1,41,1.05566196411947,1.05511523247815,1.0562086957608
CH4,1,42,1.05581544014032,1.05526882273974,1.0563620575409
CH4,1,43,1.05597778131632,1.05543255433702,1.05652300829562
CH4,1,44,1.05614818356325,1.05560553259202,1.05669083453448
CH4,1,45,1.05632581607625,1.05578682085903,1.05686481129346
CH4,1,46,1.05650984805047,1.05597547095306,1.05704422514788
CH4,1,47,1.05669944868107,1.05617052435988,1.05722837300225
CH4,1,48,1.05689378716318,1.05637101327684,1.05741656104953
CH4,1,49,1.05709203269198,1.05657596159663,1.05760810378733
CH4,1,50,1.05729335446259,1.05678438594357,1.05780232298161
CH4,1,51,1.05749692167017,1.05699529687231,1.05799854646804
CH4,1,52,1.05770190350988,1.05720770033941,1.05819610668035
CH4,1,53,1.05790746917686,1.05742059955531,1.05839433879841
CH4,1,54,1.05811278786626,1.0576329973118,1.05859257842072
CH4,1,55,1.05831702877322,1.05784389885353,1.05879015869291
CH4,1,56,1.05851936109291,1.05805231531625,1.05898640686957
CH4,1,57,1.05871895402047,1.05825726768589,1.05918064035505
CH4,1,58,1.05891497675104,1.05845779114564,1.05937216235645
CH4,1,59,1.05910659847979,1.05865293958033,1.05956025737924
CH4,1,60,1.05929298840185,1.05884178991826,1.05974418688544
CH4,1,61,1.05947331571238,1.05902344593221,1.05992318549254
CH4,1,62,1.05964674960652,1.05919704111738,1.06009645809567
CH4,1,63,1.05981245927944,1.05936174032657,1.06026317823231
CH4,1,64,1.05996961392627,1.05951673997033,1.0604224878822
CH4,1,65,1.06011738274216,1.05966126675765,1.06057349872667
CH4,1,66,1.06025493492227,1.05979457512666,1.06071529471788
CH4,1,67,1.06038143966175,1.05991594365594,1.06084693566756
CH4,1,68,1.06049606615574,1.06002467082845,1.06096746148303
CH4,1,69,1.06059798359939,1.06012007053368,1.06107589666511
CH4,1,70,1.06068636118786,1.06020146764776,1.06117125472797
CH4,1,71,1.06076036811629,1.06026819394808,1.06125254228451
CH4,1,72,1.06081917357984,1.06031958452173,1.06131876263795
CH4,1,73,1.06086194677365,1.0603549747352,1.0613689188121
CH4,1,74,1.06088785689287,1.06037369775933,1.0614020160264
CH4,1,75,1.06089607313265,1.06037508259097,1.06141706367433
CH4,1,76,1.06088576468814,1.06035845248162,1.06141307689466
CH4,1,77,1.06085610075449,1.0603231236676,1.06138907784138
CH4,1,78,1.06080625052686,1.0602684042912,1.06134409676251
CH4,1,79,1.06073538320038,1.06019359340206,1.0612771729987
CH4,1,80,1.06064266797021,1.06009797992919,1.06118735601124
CH4,1,81,1.06052727403151,1.05998084151174,1.06107370655128
CH4,1,82,1.06038837076519,1.05984144322105,1.06093529830934
CH4,1,83,1.06022531259275,1.05967918628688,1.06077143889861
CH4,1,84,1.06003798620588,1.05949388985303,1.06058208255873
CH4,1,85,1.05982637341755,1.05928543645508,1.06036731038003
