Pollutant,sector,yday,coeff,coeff_l,coeff_u
NOx,1,1,1.0741703873499,1.07302548654486,1.07531528815495
NOx,1,2,1.07317545738234,1.0720318996503,1.07431901511438
NOx,1,3,1.07220487954127,1.07106522896427,1.07334453011827
NOx,1,4,1.07125845074957,1.07012506591227,1.07239183558688
NOx,1,5,1.07033596793012,1.06921097499007,1.07146096087017
NOx,1,6,1.06943722800579,1.06832249681005,1.07055195920153
NOx,1,7,1.06856202789946,1.06745915063493,1.06966490516399
NOx,1,8,1.067710164534,1.06662043665543,1.06879989241257
NOx,1,9,1.06688143483229,1.065805838254,1.06795703141058
NOx,1,10,1.0660756357172,1.06501482449273,1.06713644694168
NOx,1,11,1.06529256411162,1.06424685306366,1.06633827515958
NOx,1,12,1.06453201693842,1.06350137393474,1.06556265994209
NOx,1,13,1.06379379112046,1.0627778339064,1.06480974833453
NOx,1,14,1.06307768358064,1.06207568224904,1.06407968491223
NOx,1,15,1.06238349124182,1.061394377511,1.06337260497264
NOx,1,16,1.06171101102688,1.0607333954609,1.06268862659286
NOx,1,17,1.0610600398587,1.06009223795944,1.06202784175796
NOx,1,18,1.06043037466015,1.05947044235721,1.06139030696309
NOx,1,19,1.05982181235411,1.05886759081797,1.06077603389025
NOx,1,20,1.05923414986345,1.0582833188161,1.06018498091081
NOx,1,21,1.05866718411105,1.05771732200158,1.05961704622053
NOx,1,22,1.05812071201979,1.05716936070277,1.05907206333682
NOx,1,23,1.05759453051255,1.05663926155348,1.05854979947161
NOx,1,24,1.05708843651219,1.05612691605499,1.05804995696939
NOx,1,25,1.05660222694159,1.05563227624802,1.05757217763516
NOx,1,26,1.05613569872363,1.05515534799672,1.05711604945055
NOx,1,27,1.05568864878119,1.05469618260717,1.05668111495522
NOx,1,28,1.05526087403714,1.0542548675857,1.05626688048859
NOx,1,29,1.05485217141436,1.05383151729143,1.05587282553729
NOx,1,30,1.05446233783572,1.0534262640903,1.05549841158115
NOx,1,31,1.0540911702241,1.05303925042268,1.05514309002553
NOx,1,32,1.05373846550238,1.05267062199889,1.05480630900587
NOx,1,33,1.05340402059343,1.05232052216755,1.05448751901931
NOx,1,34,1.05308763242012,1.0519890873756,1.05418617746464
NOx,1,35,1.05278909790534,1.05167644355726,1.05390175225342
NOx,1,36,1.05250821397196,1.05138270324466,1.05363372469925
NOx,1,37,1.05224477754285,1.0511079631747,1.053381591911
NOx,1,38,1.05199858554089,1.0508523021634,1.05314486891838
NOx,1,39,1.05176943488895,1.05061577902116,1.05292309075675
NOx,1,40,1.05155712250992,1.0503984302817,1.05271581473815
NOx,1,41,1.05136144532667,1.05020026750828,1.05252262314507
NOx,1,42,1.05118216915867,1.0500212336698,1.05234310464754
NOx,1,43,1.05101850145709,1.04986051729533,1.05217648561885
NOx,1,44,1.05086916669944,1.04971665053942,1.05202168285946
NOx,1,45,1.0507328734383,1.04958811726073,1.05187762961588
NOx,1,46,1.05060833022625,1.04947337681974,1.05174328363275
NOx,1,47,1.05049424561584,1.04937086664974,1.05161762458195
NOx,1,48,1.05038932815967,1.04927900446836,1.05149965185098
NOx,1,49,1.0502922864103,1.04919619036838,1.05138838245221
NOx,1,50,1.0502018289203,1.04912080902003,1.05128284882057
NOx,1,51,1.05011666424225,1.04905123221794,1.05118209626656
NOx,1,52,1.05003550092872,1.04898582200739,1.05108517985006
NOx,1,53,1.04995704753229,1.04892293461726,1.05099116044731
NOx,1,54,1.04988001260552,1.04886092540184,1.0508990998092
NOx,1,55,1.04980310470099,1.04879815493626,1.05080805446572
NOx,1,56,1.04972503237128,1.04873299631342,1.05071706842914
NOx,1,57,1.04964450416895,1.04866384354501,1.0506251647929
NOx,1,58,1.04956022864659,1.04858912078428,1.0505313365089
NOx,1,59,1.04947091435676,1.04850729188135,1.05043453683217
NOx,1,60,1.04937526985204,1.04841686959264,1.05033367011143
NOx,1,61,1.04927200368499,1.04831642364266,1.05022758372732
NOx,1,62,1.0491598244082,1.04820458682742,1.05011506198898
