Pollutant,sector,yday,coeff,coeff_l,coeff_u
NH3,1,1,1.04209789546805,1.04119134914854,1.04300444178756
NH3,1,2,1.04306770120433,1.04216221071975,1.04397319168891
NH3,1,3,1.04402058325081,1.04311816420548,1.04492300229614
NH3,1,4,1.04495662415386,1.0440591303976,1.04585411791012
NH3,1,5,1.04587590645983,1.04498500887258,1.04676680404708
NH3,1,6,1.04677851271509,1.0458956804079,1.04766134502227
NH3,1,7,1.04766452546599,1.04679100899737,1.04853804193461
NH3,1,8,1.04853402725891,1.04767084366686,1.04939721085096
NH3,1,9,1.04938710064019,1.04853502028014,1.05023918100025
NH3,1,10,1.05022382815621,1.04938336352136,1.05106429279106
NH3,1,11,1.05104429235332,1.05021568923966,1.05187289546698
NH3,1,12,1.05184857577789,1.05103180733718,1.05266534421859
NH3,1,13,1.05263676097627,1.05183152536649,1.05344199658605
NH3,1,14,1.05340893049483,1.05261465296774,1.05420320802191
NH3,1,15,1.05416516687992,1.05338100721238,1.05494932654746
NH3,1,16,1.05490555267791,1.05413041882216,1.05568068653367
NH3,1,17,1.05563017043517,1.05486273910107,1.05639760176927
NH3,1,18,1.05633910269805,1.05557784726483,1.05710035813126
NH3,1,19,1.05703243201291,1.056275657701,1.05778920632481
NH3,1,20,1.05771024092611,1.05695612657777,1.05846435527445
NH3,1,21,1.05837261198402,1.0576192571782,1.05912596678984
NH3,1,22,1.059019627733,1.05826510339709,1.0597741520689
NH3,1,23,1.0596513707194,1.05889377100496,1.06040897043384
NH3,1,24,1.06026792348959,1.05950541653306,1.06103043044613
NH3,1,25,1.06086936858994,1.06010024391421,1.06163849326566
NH3,1,26,1.06145578856679,1.06067849926608,1.06223307786751
NH3,1,27,1.06202726596652,1.06124046437393,1.06281406755911
NH3,1,28,1.06258388333549,1.06178644949513,1.06338131717584
NH3,1,29,1.06312572322004,1.06231678606958,1.06393466037051
NH3,1,30,1.06365286816656,1.06283181980844,1.06447391652467
NH3,1,31,1.06416540072139,1.06333190448324,1.06499889695954
NH3,1,32,1.0646634034309,1.06381739658512,1.06550941027669
NH3,1,33,1.06514695884146,1.06428865089239,1.06600526679053
NH3,1,34,1.06561614949941,1.06474601688635,1.06648628211247
NH3,1,35,1.06607105795113,1.06518983589081,1.06695228001144
NH3,1,36,1.06651176674297,1.06562043877553,1.0674030947104
NH3,1,37,1.0669383584213,1.06603814404847,1.06783857279412
NH3,1,38,1.06735091553247,1.06644325615862,1.06825857490632
NH3,1,39,1.06774952062285,1.06683606383219,1.06866297741352
NH3,1,40,1.0681342562388,1.0672168382639,1.06905167421371
NH3,1,41,1.06850520492668,1.06758583097788,1.06942457887549
NH3,1,42,1.06886243767417,1.06794325240046,1.06978162294787
NH3,1,43,1.06920581796733,1.06828895113201,1.07012268480264
NH3,1,44,1.0695350298089,1.06862245980452,1.07044759981329
NH3,1,45,1.06984975128359,1.06894327962543,1.07075622294175
NH3,1,46,1.07014966047608,1.06925089250892,1.07104842844323
