Profile_ID,wday,N
OFFS_GEN,1,0.95
OFFS_GEN,2,0.98
OFFS_GEN,3,1.015
OFFS_GEN,4,0.97
OFFS_GEN,5,1.04
OFFS_GEN,6,0.945
OFFS_GEN,7,1.08
OFFS_GEN,1,0.995
OFFS_GEN,2,1.075
OFFS_GEN,3,1.015
OFFS_GEN,4,1.005
OFFS_GEN,5,0.92
OFFS_GEN,6,0.9
OFFS_GEN,7,1.08
OFFS_GEN,1,1.085
OFFS_GEN,2,1.01
OFFS_GEN,3,0.985
OFFS_GEN,4,1.095
OFFS_GEN,5,1.06
OFFS_GEN,6,1.065
OFFS_GEN,7,1.04
OFFS_GEN,1,1.095
OFFS_GEN,2,1.04
OFFS_GEN,3,1.09
OFFS_GEN,4,1.065
OFFS_GEN,5,1.005
OFFS_GEN,6,0.93
OFFS_GEN,7,1
OFFS_GEN,1,1.035
OFFS_GEN,2,1.04
OFFS_GEN,3,1.06
OFFS_GEN,4,0.98
OFFS_GEN,5,1.02
OFFS_GEN,6,1.08
OFFS_GEN,7,1.01
OFFS_GEN,1,0.9
OFFS_GEN,2,0.905
OFFS_GEN,3,0.905
OFFS_GEN,4,1.01
OFFS_GEN,5,1.045
OFFS_GEN,6,1.025
OFFS_GEN,7,0.97
OFFS_GEN,1,0.93
OFFS_GEN,2,1.085
OFFS_GEN,3,0.97
OFFS_GEN,4,0.905
OFFS_GEN,5,1.055
OFFS_GEN,6,0.965
OFFS_GEN,7,1.01
OFFS_GEN,1,1.02
OFFS_GEN,2,1.06
OFFS_GEN,3,1.065
OFFS_GEN,4,0.95
OFFS_GEN,5,0.935
OFFS_GEN,6,0.91
OFFS_GEN,7,0.915
OFFS_GEN,1,0.985
OFFS_GEN,2,0.95
OFFS_GEN,3,1.055
OFFS_GEN,4,0.91
OFFS_GEN,5,0.93
OFFS_GEN,6,1.035
OFFS_GEN,7,1.025
OFFS_GEN,1,0.925
OFFS_GEN,2,1.065
OFFS_GEN,3,0.97
OFFS_GEN,4,0.98
OFFS_GEN,5,1.02
OFFS_GEN,6,1.07
OFFS_GEN,7,0.99
OFFS_GEN,1,1.04
OFFS_GEN,2,1.075
OFFS_GEN,3,0.935
OFFS_GEN,4,1.06
OFFS_GEN,5,0.915
OFFS_GEN,6,1.1
OFFS_GEN,7,1.02
OFFS_GEN,1,1.055
OFFS_GEN,2,0.92
OFFS_GEN,3,1.015
OFFS_GEN,4,0.96
OFFS_GEN,5,1.1
OFFS_GEN,6,0.99
OFFS_GEN,7,1.005
OFFS_GEN,1,0.965
OFFS_GEN,2,0.9
OFFS_GEN,3,1.085
OFFS_GEN,4,1.04
OFFS_GEN,5,1.07
OFFS_GEN,6,1.03
OFFS_GEN,7,1.035
OFFS_GEN,1,0.925
OFFS_GEN,2,0.92
OFFS_GEN,3,0.92
OFFS_GEN,4,0.915
OFFS_GEN,5,0.965
OFFS_GEN,6,1.07
OFFS_GEN,7,1.005
OFFS_GEN,1,1.04
OFFS_GEN,2,0.955
OFFS_GEN,3,0.95
OFFS_GEN,4,0.945
OFFS_GEN,5,1.05
OFFS_GEN,6,0.935
OFFS_GEN,7,0.935
OFFS_GEN,1,1.01
OFFS_GEN,2,1.045
OFFS_GEN,3,0.98
OFFS_GEN,4,1.045
OFFS_GEN,5,0.975
OFFS_GEN,6,1.045
OFFS_GEN,7,1.03
OFFS_GEN,1,1.1
OFFS_GEN,2,0.975
OFFS_GEN,3,0.975
OFFS_GEN,4,1
OFFS_GEN,5,0.905
OFFS_GEN,6,0.995
OFFS_GEN,7,0.955
OFFS_GEN,1,1.085
OFFS_GEN,2,0.925
OFFS_GEN,3,0.92
OFFS_GEN,4,1.025
OFFS_GEN,5,1.015
OFFS_GEN,6,1.075
OFFS_GEN,7,1.09
OFFS_GEN,1,1.015
OFFS_GEN,2,0.98
OFFS_GEN,3,0.99
OFFS_GEN,4,0.935
OFFS_GEN,5,1.07
OFFS_GEN,6,0.97
OFFS_GEN,7,0.93
OFFS_GEN,1,1.04
OFFS_GEN,2,0.91
OFFS_GEN,3,0.9
OFFS_GEN,4,1.065
OFFS_GEN,5,0.95
OFFS_GEN,6,1.005
OFFS_GEN,7,0.975
OFFS_GEN,1,1.095
OFFS_GEN,2,1.025
OFFS_GEN,3,1.005
OFFS_GEN,4,0.98
OFFS_GEN,5,0.925
OFFS_GEN,6,1.06
OFFS_GEN,7,1.04
OFFS_GEN,1,1.085
OFFS_GEN,2,1.04
OFFS_GEN,3,0.91
OFFS_GEN,4,1.085
OFFS_GEN,5,1.035
OFFS_GEN,6,1.035
OFFS_GEN,7,0.915
OFFS_GEN,1,0.935
OFFS_GEN,2,1.06
OFFS_GEN,3,1.035
OFFS_GEN,4,1.01
OFFS_GEN,5,0.98
OFFS_GEN,6,0.915
OFFS_GEN,7,0.95
OFFS_GEN,1,1.09
OFFS_GEN,2,1.1
OFFS_GEN,3,1
OFFS_GEN,4,1.03
OFFS_GEN,5,0.91
OFFS_GEN,6,1.015
OFFS_GEN,7,1.015
OFFS_GEN,1,0.975
OFFS_GEN,2,0.94
OFFS_GEN,3,1.02
