time,N
1,0.999992249607646
2,0.999989992297703
3,0.999987744491243
4,0.999985506088422
5,0.999983276989395
6,0.99998105709432
7,0.999978846303354
8,0.999976644516653
9,0.999974451634372
10,0.99997226755667
11,0.999970092183702
12,0.999967925415625
13,0.999965767152595
14,0.999963617294769
15,0.999961475742303
16,0.999959342395355
17,0.999957217154079
18,0.999955099918634
19,0.999952990589175
20,0.999950889065859
21,0.999948795248842
22,0.999946709038281
23,0.999944630334333
24,0.999942559037154
25,0.9999404950469
26,0.999938438263728
27,0.999936388587795
28,0.999934345919257
29,0.99993231015827
30,0.999930281204991
31,0.999928258959577
32,0.999926243322184
33,0.999924234192969
34,0.999922231472087
35,0.999920235059697
36,0.999918244855953
37,0.999916260761013
38,0.999914282675033
39,0.99991231049817
40,0.99991034413058
41,0.999908383472419
42,0.99990642845854
43,0.999904479646633
44,0.999902538133129
45,0.999900605032225
46,0.999898681458114
47,0.999896768524993
48,0.999894867347057
49,0.9998929790385
50,0.999891104713517
51,0.999889245486305
52,0.999887402471058
53,0.999885576781971
54,0.999883769533239
55,0.999881981839058
56,0.999880214813623
57,0.999878469571128
58,0.99987674722577
59,0.999875048891743
60,0.999873375683242
61,0.999871728714463
62,0.9998701090996
63,0.99986851795285
64,0.999866956388406
65,0.999865425520465
66,0.999863926463221
67,0.999862460330869
68,0.999861028237605
69,0.999859631297624
70,0.999858270625122
71,0.999856947334292
72,0.999855662539331
73,0.999854417354433
74,0.999853212893794
75,0.999852050271608
76,0.999850930602072
77,0.99984985499938
78,0.999848824577727
79,0.999847840451309
80,0.99984690373432
81,0.999846015540956
82,0.999845176985163
83,0.999844388932361
84,0.999843651533086
85,0.999842964810122
86,0.999842328786247
87,0.999841743484244
88,0.999841208926894
89,0.999840725136979
90,0.999840292137278
91,0.999839909950573
92,0.999839578599646
93,0.999839298107279
94,0.999839068496251
95,0.999838889789344
96,0.999838762009339
97,0.999838685179018
98,0.999838659321161
99,0.999838684458551
100,0.999838760613967
101,0.999838887810192
102,0.999839066070006
103,0.99983929541619
104,0.999839575871527
105,0.999839907458796
106,0.999840290200779
107,0.999840724120258
108,0.999841209240013
109,0.999841745582826
110,0.999842333171477
111,0.999842972028749
112,0.999843662177422
113,0.999844403640278
114,0.999845196440097
115,0.99984604059966
116,0.99984693614175
117,0.999847883089147
118,0.999848881464632
119,0.999849931290987
120,0.999851032590992
121,0.999852185387429
122,0.999853389703079
123,0.999854645530514
124,0.999855952511115
125,0.999857310059689
126,0.99985871758727
127,0.999860174504887
128,0.999861680223574
129,0.99986323415436
130,0.99986483570828
131,0.999866484296362
132,0.99986817932964
133,0.999869920219145
134,0.999871706375908
135,0.999873537210962
136,0.999875412135337
137,0.999877330560066
138,0.99987929189618
139,0.99988129555471
140,0.999883340946688
141,0.999885427483147
142,0.999887554575117
143,0.99988972163363
144,0.999891928069718
145,0.999894173294412
146,0.999896456718744
147,0.999898777753745
148,0.999901135810448
149,0.999903530299884
150,0.999905960633084
151,0.99990842622108
152,0.999910926474903
153,0.999913460805586
154,0.99991602862416
155,0.999918629341656
156,0.999921262369107
157,0.999923927117543
158,0.999926622997996
159,0.999929349421499
160,0.999932105799082
161,0.999934891541777
162,0.999937706060616
163,0.999940548765424
164,0.999943418870021
165,0.999946315177209
166,0.999949236438038
167,0.999952181403554
168,0.999955148824805
169,0.99995813745284
170,0.999961146038706
