time,N
1,1.0000004376951
2,1.00000043260856
3,1.00000042738618
4,1.00000042202922
5,1.00000041653891
6,1.0000004109165
7,1.00000040516324
8,1.00000039928037
9,1.00000039326913
10,1.00000038713078
11,1.00000038086656
12,1.00000037447771
13,1.00000036796547
14,1.0000003613311
15,1.00000035457584
16,1.00000034770094
17,1.00000034070763
18,1.00000033359717
19,1.0000003263708
20,1.00000031902976
21,1.00000031157531
22,1.00000030400868
23,1.00000029633112
24,1.00000028854388
25,1.00000028064821
26,1.00000027264534
27,1.00000026453652
28,1.00000025632301
29,1.00000024800603
30,1.00000023958685
31,1.0000002310667
32,1.00000022244683
33,1.00000021372849
34,1.00000020491292
35,1.00000019600136
36,1.00000018699506
37,1.00000017789528
38,1.00000016870324
39,1.0000001594202
40,1.00000015004741
41,1.0000001405861
42,1.0000001310376
43,1.00000012140468
44,1.00000011169134
45,1.00000010190161
46,1.00000009203954
47,1.00000008210917
48,1.00000007211454
49,1.0000000620597
50,1.00000005194868
51,1.00000004178553
52,1.00000003157429
53,1.000000021319
54,1.00000001102371
55,1.00000000069245
56,0.999999990329276
57,0.999999979938218
58,0.999999969523322
59,0.99999995908863
60,0.999999948638184
61,0.999999938176025
62,0.999999927706197
63,0.99999991723274
64,0.999999906759697
65,0.99999989629111
66,0.99999988583102
67,0.99999987538347
68,0.999999864952501
69,0.999999854542157
70,0.999999844156477
71,0.999999833799505
72,0.999999823475283
73,0.999999813187852
74,0.999999802941254
75,0.999999792739532
76,0.999999782586726
77,0.999999772486881
78,0.999999762444036
79,0.999999752462234
80,0.999999742545518
81,0.999999732697928
82,0.999999722923508
83,0.999999713226309
84,0.999999703610415
85,0.999999694079914
86,0.999999684638896
87,0.999999675291448
88,0.99999966604166
89,0.999999656893619
90,0.999999647851416
91,0.999999638919137
92,0.999999630100872
93,0.99999962140071
94,0.999999612822739
95,0.999999604371048
96,0.999999596049725
97,0.99999958786286
98,0.99999957981454
99,0.999999571908854
100,0.999999564149892
101,0.999999556541741
102,0.99999954908849
103,0.999999541794228
104,0.999999534663044
105,0.999999527699026
106,0.999999520906263
107,0.999999514288843
108,0.999999507850856
109,0.999999501596388
110,0.999999495529531
111,0.999999489654371
112,0.999999483974999
113,0.999999478495501
114,0.999999473219967
115,0.999999468152486
116,0.999999463297146
117,0.999999458658036
118,0.999999454239244
119,0.99999945004486
120,0.999999446078971
121,0.999999442345667
122,0.999999438849035
123,0.999999435592831
124,0.999999432576925
125,0.99999942979868
126,0.999999427255418
127,0.999999424944461
128,0.999999422863133
129,0.999999421008754
130,0.999999419378647
131,0.999999417970134
132,0.999999416780536
133,0.999999415807176
134,0.999999415047377
135,0.99999941449846
136,0.999999414157747
137,0.99999941402256
138,0.999999414090222
139,0.999999414358054
140,0.999999414823379
141,0.999999415483519
142,0.999999416335795
143,0.99999941737753
144,0.999999418606046
145,0.999999420018665
146,0.999999421612709
147,0.9999994233855
148,0.99999942533436
149,0.999999427456612
150,0.999999429749577
151,0.999999432210578
152,0.999999434836936
153,0.999999437625974
154,0.999999440575013
155,0.999999443681376
156,0.999999446942386
157,0.999999450355363
158,0.99999945391763
159,0.99999945762651
160,0.999999461479323
161,0.999999465473393
162,0.999999469606042
163,0.999999473874592
164,0.999999478276601
165,0.999999482810112
166,0.999999487473231
167,0.999999492264065
168,0.999999497180718
169,0.999999502221297
170,0.999999507383907
171,0.999999512666655
172,0.999999518067646
173,0.999999523584986
174,0.999999529216781
175,0.999999534961136
176,0.999999540816158
177,0.999999546779952
178,0.999999552850623
179,0.999999559026279
180,0.999999565305024
181,0.999999571684964
182,0.999999578164205
183,0.999999584740854
184,0.999999591413015
185,0.999999598178794
186,0.999999605036298
187,0.999999611983632
188,0.999999619018902
189,0.999999626140214
190,0.999999633345673
191,0.999999640633386
192,0.999999648001458
193,0.999999655447994
194,0.999999662971102
195,0.999999670568886
196,0.999999678239452
197,0.999999685980907
198,0.999999693791355
199,0.999999701668903
200,0.999999709611657
201,0.999999717617722
202,0.999999725685204
203,0.99999973381221
204,0.999999741996864
205,0.999999750237454
206,0.999999758532344
207,0.999999766879897
208,0.999999775278479
209,0.999999783726452
210,0.999999792222182
211,0.999999800764031
212,0.999999809350366
213,0.999999817979549
214,0.999999826649945
215,0.999999835359917
